@relation 'Hand-based-all-weka.filters.unsupervised.attribute.Remove-R75-97-weka.filters.unsupervised.attribute.Remove-R6,15,2,4'

@attribute Sigdist numeric
@attribute AYXV numeric
@attribute VEL1X numeric
@attribute VEL4Y numeric
@attribute VEL5 numeric
@attribute VEL6 numeric
@attribute VELCOR numeric
@attribute Initdir numeric
@attribute XSize numeric
@attribute YSize numeric
@attribute TotalTime numeric
@attribute VelYZero numeric
@attribute AvPress numeric
@attribute PIXELCENX numeric
@attribute PIXELCENY numeric
@attribute PTD numeric
@attribute HDRATION numeric
@attribute SET numeric
@attribute DCHANGE numeric
@attribute DUR1 numeric
@attribute DUR2 numeric
@attribute DUR3 numeric
@attribute DUR4 numeric
@attribute TIME3 numeric
@attribute TIME4 numeric
@attribute TIME5 numeric
@attribute TIME6 numeric
@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtsk1 numeric
@attribute dtfk2 numeric
@attribute ft2 numeric
@attribute dtsk2 numeric
@attribute dtfk3 numeric
@attribute ft3 numeric
@attribute dtsk3 numeric
@attribute dtfk4 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute ft5 numeric
@attribute dtsk5 numeric
@attribute dtfk6 numeric
@attribute ft6 numeric
@attribute dtsk6 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtsk7 numeric
@attribute dtfk8 numeric
@attribute ft8 numeric
@attribute dtsk8 numeric
@attribute dtfk9 numeric
@attribute ft9 numeric
@attribute dtsk9 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtsk11 numeric
@attribute dtfk12 numeric
@attribute ft12 numeric
@attribute dtsk12 numeric
@attribute dtfk13 numeric
@attribute ft13 numeric
@attribute dtsk13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute sum numeric
@attribute class {43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119}

@data
1909.54745,0.006376,0,0,-0.002953,0.162433,0,0,-0.099625,6.6932,2085.46378,17.717,62,42,0.563425,1233.569573,389.667615,505184510.114155,6.6932,17717,141,-16115,-1602,-8701,-9000,8,8,8,0,78,156,78,125,63,62,32,47,47,78,0,47,47,63,94,62,94,93,16,187,32,63,47,94,94,78,63,62,16,78,47,32,94,156,328,62,47,63,141,31,3222,47
1731.09675,0.000839,0.099657,-385.374337,-0.102459,0.492297,0.059509,0.000392,-0.073018,9.347414,1885.76689,14.054,48,35,0.455704,1226.279266,346.980034,289836053.701986,9.347414,14054,118,-13161,-893,-6971,-7067,0,8,14,0,328,141,219,47,62,47,63,63,141,281,0,31,109,78,15,47,78,47,78,63,0,32,1062,94,94,47,78,63,93,156,47,15,93,16,31,62,328,47,94,47,4719,47
2305.43256,-0.011419,0.5,39.973686,-0.070659,-0.068223,0.052132,-0.004919,-0.185109,4.36012,2308.25892,36.306,66,65,0.441681,1128.614793,915.449501,735182294.316716,4.36012,36306,188,-17691,-18615,-17082,-18901,0,7,0,16,109,109,109,94,94,78,78,78,94,94,94,312,78,94,93,94,78,78,63,63,125,62,94,94,93,78,78,94,78,63,78,62,78,78,78,125,63,63,31,62,3765,48
2337.692355,-0.006165,0.046755,100.060279,-0.120851,-0.05068,0.05208,-0.003022,-0.111011,7.582631,2349.29003,20.031,49,35,0.496364,1145.262554,1052.240141,358723510.959692,7.582631,20031,154,-10441,-9590,-10310,-9704,0,6,0,17,78,141,16,78,62,110,94,78,16,62,47,188,78,94,78,94,79,187,78,62,94,78,125,94,78,47,78,47,78,62,63,204,46,79,78,47,78,78,63,78,3425,48
2422.775462,-0.009716,0,90.029428,0.131572,-0.185175,0,0,-0.145816,7.661488,2423.750062,18.447,37,35,0.445521,1226.472694,1028.997673,326319732.72327,7.661488,18447,142,-10059,-8388,-8947,-9483,0,15,7,0,78,47,109,47,63,15,63,78,94,94,78,172,78,31,63,125,78,47,78,78,46,204,94,15,79,78,78,94,78,63,78,62,78,78,78,218,79,63,31,62,3281,48
1632.27173,0.013018,0,-8.88677,-0.125308,-0.013926,0,0.003108,0.062846,6.151508,1721.83808,20.236,50,44,0.348968,1095.556578,810.025641,169995997.524494,6.151508,20236,150,-11333,-8903,-8193,-12027,8,8,0,7,125,125,94,94,94,15,63,63,172,125,125,156,125,47,62,125,16,47,31,94,94,78,94,93,94,16,79,62,141,78,157,203,16,78,109,16,94,125,16,109,3737,49
1618.33487,0.017479,-0.0342,0,-0.233315,-0.437093,0.022876,0.003589,0.282265,5.299451,1756.0467,16.889,51,50,0.384799,1079.736976,765.972193,166746213.712899,5.299451,16889,160,-11903,-4986,-7341,-9531,0,7,7,0,47,94,125,62,16,110,47,109,16,78,156,109,125,62,78,110,47,31,109,109,78,94,93,94,94,94,78,93,94,94,62,79,62,47,109,32,78,78,47,124,3577,49
1701.46871,0.017971,0,-20.664828,0.012995,-0.37035,0,0.007706,0.057429,5.916477,1849.21924,15.136,50,50,0.433652,1067.950352,804.664582,166814684.841878,5.916477,15136,146,-9593,-5543,-6757,-8362,7,7,0,17,109,125,78,78,31,94,15,63,172,125,156,547,172,15,79,93,78,47,125,78,109,79,0,78,47,16,79,62,141,78,157,203,16,78,124,16,78,125,16,109,4000,49
2189.6495,0.000513,-0.091702,-786.216106,-0.09074,-0.020168,0.071833,0.000344,-0.284369,8.586284,2295.394364,25.671,45,36,0.536266,1181.572561,857.537932,1021922540.19514,8.586284,25671,160,-15266,-10405,-12480,-13174,0,7,0,16,141,141,47,94,94,125,93,93,16,94,94,47,31,16,62,110,31,94,16,4,80,31,562,640,16,15,47,78,16,79,62,672,31,78,15,78,32,16,110,31,4273,50
2299.48755,0.000319,0,-1646.88926,-0.024366,-0.05482,0,0.000156,-0.260421,8.001029,2414.198791,21.381,36,38,0.530458,1179.986119,961.932628,759483302.47401,8.001029,21381,138,-12438,-8943,-10569,-10795,0,7,17,0,15,47,125,94,63,141,16,110,78,94,532,625,32,78,141,47,62,141,15,172,16,31,47,109,141,62,63,62,78,32,141,671,47,125,15,125,15,78,16,78,4784,50
